Settings: {"threads":4,"sourcedir":"C:\\Users\\pfeeney\\Desktop\\test","destdir":"C:\\Users\\pfeeney\\Desktop\\dest","nowriteoutput":false,"iterations":200,"conversion_host":"http://localhost:19060/PCCIS","min_avail":null,"workfile_host":"http://localhost:19020/PCCIS","workfile_exp":"1d","dest_format":"png,jpeg,svg,pdf,tiff","dest_opts_file":"C:/Users/pfeeney/Desktop/opts.json","filter":".*"}
File,Duration,Success
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.696,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.126,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.121,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.668,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.896,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.563,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.133,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.674,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.138,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.688,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.461,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.377,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.756,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.581,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.687,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.379,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.615,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.017,False,Error: Failed to create Conversion Process. HTTP: 480 - {"input":{"src":{"fileId":"pXi7efxzwpjXWWUoP41-ug"},"dest":{"format":"pdf","pdfOptions":{"forceOneFilePerPage":false}}},"minSecondsAvailable":86400,"errorCode":"UnsupportedConversion","errorDetails":{"in":"body","at":"input.dest.format","expected":{"enum":["svg","png","jpeg","tiff"]}}}
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.825,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.788,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.38,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.357,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.128,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.128,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.468,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.093,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.14,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.905,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.679,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.134,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.681,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.682,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.132,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.31,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.456,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.789,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.452,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.093,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.686,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.604,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.365,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.354,True,OK
